           1     1.38555     1.38555           0
           2     1.38551     1.38553 1.38101e-05
           3      1.3854     1.38549 3.78718e-05
           4     1.38545     1.38548 2.93119e-05
           5     1.38549     1.38548 2.35658e-05
           6     1.38548     1.38548 1.96384e-05
           7     1.38563      1.3855 2.55483e-05
           8     1.38553     1.38551 2.25448e-05
           9      1.3855      1.3855 2.00696e-05
          10     1.38555     1.38551 1.86754e-05
          11      1.3854      1.3855 1.92626e-05
          12     1.38546      1.3855 1.79311e-05
          13     1.38545     1.38549 1.69604e-05
          14     1.38547     1.38549 1.58102e-05
          15     1.38554      1.3855 1.50719e-05
          16     1.38563      1.3855 1.61754e-05
          17     1.38551      1.3855 1.52291e-05
          18     1.38549      1.3855 1.44061e-05
          19     1.38544      1.3855 1.40763e-05
          20     1.38548      1.3855 1.34217e-05
