1  1  -nan
2  1.41474  0.00462748
3  1.73161  0.00789706
4  1.99473  0.00875787
5  2.23323  0.0104094
6  2.44446  0.00939313
7  2.63896  0.0124038
8  2.82557  0.013018
9  3.00632  0.0159781
10  3.1524  0.0175198
11  3.30873  0.0166313
12  3.44978  0.0177755
13  3.583  0.0166253
14  3.74962  0.0182687
15  3.87882  0.0170059
16  4.02838  0.0198583
17  4.12231  0.0198678
18  4.24414  0.019495
19  4.39037  0.0213853
20  4.48127  0.0203828
21  4.58295  0.0227944
22  4.66605  0.0279045
23  4.81135  0.0255135
24  4.88928  0.0281254
25  4.96129  0.0233332
26  5.10895  0.0246249
27  5.17006  0.0254185
28  5.26297  0.0278108
29  5.394  0.0261889
30  5.48904  0.023902
31  5.55652  0.0259398
32  5.63072  0.0269546
33  5.76053  0.0251571
34  5.82825  0.0268183
35  5.93777  0.0301625
36  6.02859  0.0261867
37  6.04748  0.033331
38  6.07746  0.0323043
39  6.24586  0.0336666
40  6.25985  0.0301135
41  6.33568  0.0305999
42  6.54024  0.030143
43  6.56969  0.0298007
44  6.66711  0.0305431
45  6.70465  0.0293841
46  6.80963  0.0292606
47  6.85955  0.0385138
48  6.93994  0.0357955
49  7.00611  0.0349555
50  7.07142  0.0344318
51  7.17689  0.0356086
52  7.18082  0.0360309
53  7.25884  0.0378436
54  7.2924  0.0335986
55  7.42037  0.0414362
56  7.50516  0.0371863
57  7.56404  0.0317535
58  7.61143  0.0364689
59  7.71934  0.0428333
60  7.71485  0.0365324
61  7.82565  0.0335034
62  7.94194  0.0421355
63  7.92256  0.0393691
64  7.99323  0.040401
65  8.02923  0.0424738
66  8.05093  0.0354743
67  8.16232  0.0443617
68  8.17541  0.043754
69  8.33966  0.0443993
70  8.38415  0.0437532
71  8.42493  0.0443965
72  8.49642  0.0436483
73  8.56599  0.0447017
74  8.57647  0.0426198
75  8.70579  0.0414907
76  8.70065  0.0497317
77  8.70875  0.036499
78  8.81232  0.0391613
79  8.78467  0.0427426
80  8.96954  0.0402963
81  9.01781  0.05062
82  9.1132  0.0477435
83  9.08195  0.0386039
84  9.11936  0.0525236
85  9.15423  0.0508717
86  9.26013  0.0474304
87  9.41073  0.0429951
88  9.4059  0.045701
89  9.41937  0.0495591
90  9.47624  0.046647
91  9.48296  0.0495761
92  9.58643  0.0505689
93  9.63842  0.0467115
94  9.68079  0.0463902
95  9.74357  0.0489199
96  9.88908  0.0521262
97  9.86037  0.0521231
98  9.90967  0.0466936
99  9.88365  0.043343
100  10.0546  0.0523772
