           1   0.0491413   0.0491413           0
           2   0.0486169   0.0488791 0.000185411
           3   0.0494133   0.0490572 0.000190841
           4    0.048838   0.0490024 0.000150789
           5   0.0488436   0.0489706 0.000123928
           6   0.0490549   0.0489847 0.000104067
           7   0.0489045   0.0489732 8.98273e-05
           8   0.0491877       0.049 8.25009e-05
           9   0.0489734   0.0489971 7.33873e-05
          10   0.0490547   0.0490028 6.62746e-05
          11   0.0488077   0.0489851 6.25796e-05
          12   0.0487775   0.0489678 5.97081e-05
          13   0.0494628   0.0490059 6.61517e-05
          14   0.0487263   0.0489859 6.43705e-05
          15    0.048992   0.0489863 6.00804e-05
          16   0.0486143   0.0489631 6.06565e-05
          17   0.0488318   0.0489553 5.75778e-05
          18   0.0491054   0.0489637 5.49789e-05
          19   0.0488394   0.0489571 5.24727e-05
          20   0.0488782   0.0489532 4.99974e-05
